Timecode List:,00:00:11.433,00:00:12.800,00:00:14.367,00:00:15.867,00:00:19.600,00:00:21.067,00:00:22.033,00:00:23.867,00:00:25.267,00:00:26.633,00:00:34.833,00:00:45.933,00:00:54.333,00:01:03.467,00:01:04.967,00:01:08.100,00:01:13.367,00:01:19.100,00:01:21.633,00:01:28.667,00:01:32.567,00:01:37.233,00:01:50.633,00:01:58.233,00:02:03.167,00:02:14.633,00:02:18.700,00:02:23.567,00:02:28.233,00:02:36.367,00:02:39.667,00:02:45.267,00:03:04.467,00:03:06.867,00:03:10.000,00:03:26.400,00:03:36.767,00:03:41.900,00:03:45.067,00:04:04.967,00:04:11.633,00:04:16.200,00:04:25.833,00:04:29.600,00:04:43.700,00:04:50.733,00:05:00.867,00:05:06.100,00:05:15.000,00:05:17.067,00:05:21.800,00:05:28.733,00:05:32.833,00:05:42.000,00:05:45.867,00:05:50.067,00:05:57.900,00:06:09.167,00:06:11.167,00:06:12.300,00:06:13.367,00:06:14.400,00:06:15.433,00:06:16.433,00:06:17.433,00:06:18.433,00:06:19.367,00:06:20.233,00:06:21.467
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,301,00:00:10.000,10.000,343,00:00:11.433,11.433,43,00:00:01.433,1.433
2,344,00:00:11.433,11.433,384,00:00:12.800,12.800,41,00:00:01.367,1.367
3,385,00:00:12.800,12.800,431,00:00:14.367,14.367,47,00:00:01.567,1.567
4,432,00:00:14.367,14.367,476,00:00:15.867,15.867,45,00:00:01.500,1.500
5,477,00:00:15.867,15.867,588,00:00:19.600,19.600,112,00:00:03.733,3.733
6,589,00:00:19.600,19.600,632,00:00:21.067,21.067,44,00:00:01.467,1.467
7,633,00:00:21.067,21.067,661,00:00:22.033,22.033,29,00:00:00.967,0.967
8,662,00:00:22.033,22.033,716,00:00:23.867,23.867,55,00:00:01.833,1.833
9,717,00:00:23.867,23.867,758,00:00:25.267,25.267,42,00:00:01.400,1.400
10,759,00:00:25.267,25.267,799,00:00:26.633,26.633,41,00:00:01.367,1.367
11,800,00:00:26.633,26.633,1045,00:00:34.833,34.833,246,00:00:08.200,8.200
12,1046,00:00:34.833,34.833,1378,00:00:45.933,45.933,333,00:00:11.100,11.100
13,1379,00:00:45.933,45.933,1630,00:00:54.333,54.333,252,00:00:08.400,8.400
14,1631,00:00:54.333,54.333,1904,00:01:03.467,63.467,274,00:00:09.133,9.133
15,1905,00:01:03.467,63.467,1949,00:01:04.967,64.967,45,00:00:01.500,1.500
16,1950,00:01:04.967,64.967,2043,00:01:08.100,68.100,94,00:00:03.133,3.133
17,2044,00:01:08.100,68.100,2201,00:01:13.367,73.367,158,00:00:05.267,5.267
18,2202,00:01:13.367,73.367,2373,00:01:19.100,79.100,172,00:00:05.733,5.733
19,2374,00:01:19.100,79.100,2449,00:01:21.633,81.633,76,00:00:02.533,2.533
20,2450,00:01:21.633,81.633,2660,00:01:28.667,88.667,211,00:00:07.033,7.033
21,2661,00:01:28.667,88.667,2777,00:01:32.567,92.567,117,00:00:03.900,3.900
22,2778,00:01:32.567,92.567,2917,00:01:37.233,97.233,140,00:00:04.667,4.667
23,2918,00:01:37.233,97.233,3319,00:01:50.633,110.633,402,00:00:13.400,13.400
24,3320,00:01:50.633,110.633,3547,00:01:58.233,118.233,228,00:00:07.600,7.600
25,3548,00:01:58.233,118.233,3695,00:02:03.167,123.167,148,00:00:04.933,4.933
26,3696,00:02:03.167,123.167,4039,00:02:14.633,134.633,344,00:00:11.467,11.467
27,4040,00:02:14.633,134.633,4161,00:02:18.700,138.700,122,00:00:04.067,4.067
28,4162,00:02:18.700,138.700,4307,00:02:23.567,143.567,146,00:00:04.867,4.867
29,4308,00:02:23.567,143.567,4447,00:02:28.233,148.233,140,00:00:04.667,4.667
30,4448,00:02:28.233,148.233,4691,00:02:36.367,156.367,244,00:00:08.133,8.133
31,4692,00:02:36.367,156.367,4790,00:02:39.667,159.667,99,00:00:03.300,3.300
32,4791,00:02:39.667,159.667,4958,00:02:45.267,165.267,168,00:00:05.600,5.600
33,4959,00:02:45.267,165.267,5534,00:03:04.467,184.467,576,00:00:19.200,19.200
34,5535,00:03:04.467,184.467,5606,00:03:06.867,186.867,72,00:00:02.400,2.400
35,5607,00:03:06.867,186.867,5700,00:03:10.000,190.000,94,00:00:03.133,3.133
36,5701,00:03:10.000,190.000,6192,00:03:26.400,206.400,492,00:00:16.400,16.400
37,6193,00:03:26.400,206.400,6503,00:03:36.767,216.767,311,00:00:10.367,10.367
38,6504,00:03:36.767,216.767,6657,00:03:41.900,221.900,154,00:00:05.133,5.133
39,6658,00:03:41.900,221.900,6752,00:03:45.067,225.067,95,00:00:03.167,3.167
40,6753,00:03:45.067,225.067,7349,00:04:04.967,244.967,597,00:00:19.900,19.900
41,7350,00:04:04.967,244.967,7549,00:04:11.633,251.633,200,00:00:06.667,6.667
