Timecode List:,00:00:11.300,00:00:12.300,00:00:13.300,00:00:14.967,00:00:15.967,00:00:16.967,00:00:17.967,00:00:19.967,00:00:23.267,00:00:24.600,00:00:25.667,00:00:26.633,00:00:28.500,00:00:29.667,00:00:31.833,00:00:32.867,00:00:33.900,00:00:35.400,00:00:38.267,00:00:44.267,00:00:50.467,00:00:56.400,00:01:04.633,00:01:08.100,00:01:12.767,00:01:19.500,00:01:28.733,00:01:32.733,00:01:50.333,00:02:09.700,00:02:18.900,00:02:20.900,00:02:21.967,00:02:22.933,00:02:23.733,00:02:30.367,00:02:33.300,00:02:34.600,00:02:38.067,00:02:40.900,00:02:45.233,00:02:49.567,00:02:52.567,00:02:58.367,00:03:07.367,00:03:15.167,00:03:18.233,00:03:27.533,00:03:45.100,00:03:50.867,00:03:53.400,00:03:54.000,00:04:02.633,00:04:10.200,00:04:12.467,00:04:13.067,00:04:14.033,00:04:14.833,00:04:16.067,00:04:23.000,00:04:27.633,00:04:32.967,00:04:40.567,00:04:58.100,00:05:03.067,00:05:07.300,00:05:15.167,00:05:20.167,00:05:23.600,00:05:24.800,00:05:31.867,00:05:36.633,00:05:53.700,00:06:07.600,00:06:11.800,00:06:16.000,00:06:19.967,00:06:35.500,00:06:40.467,00:06:41.067,00:06:44.833,00:06:49.100,00:07:03.333,00:07:16.033,00:07:24.033,00:07:31.233,00:07:33.267,00:07:36.400,00:07:48.700,00:08:07.667,00:08:12.133,00:08:17.033,00:08:19.700,00:08:25.867,00:08:30.167,00:08:34.367,00:08:42.733,00:08:45.267,00:08:48.400,00:08:58.667,00:09:37.833,00:09:44.900,00:09:57.133,00:10:03.833,00:10:09.467,00:10:11.367,00:10:17.267,00:10:20.567,00:10:25.533,00:10:30.933,00:10:33.800,00:10:39.167,00:10:45.200,00:10:53.800,00:11:04.400,00:11:08.167,00:11:15.633,00:11:19.567,00:11:26.000,00:11:29.433,00:11:35.833,00:11:39.433,00:11:44.567,00:11:51.733,00:11:54.567,00:12:02.900,00:12:06.900,00:12:11.500,00:12:21.433,00:12:33.500,00:12:34.133,00:12:39.933,00:12:43.933,00:12:49.767,00:12:57.533,00:13:24.033,00:13:31.400,00:13:34.800,00:13:45.733,00:13:48.333,00:13:49.733,00:13:55.867
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,301,00:00:10.000,10.000,339,00:00:11.300,11.300,39,00:00:01.300,1.300
2,340,00:00:11.300,11.300,369,00:00:12.300,12.300,30,00:00:01.000,1.000
3,370,00:00:12.300,12.300,399,00:00:13.300,13.300,30,00:00:01.000,1.000
4,400,00:00:13.300,13.300,449,00:00:14.967,14.967,50,00:00:01.667,1.667
5,450,00:00:14.967,14.967,479,00:00:15.967,15.967,30,00:00:01.000,1.000
6,480,00:00:15.967,15.967,509,00:00:16.967,16.967,30,00:00:01.000,1.000
7,510,00:00:16.967,16.967,539,00:00:17.967,17.967,30,00:00:01.000,1.000
8,540,00:00:17.967,17.967,599,00:00:19.967,19.967,60,00:00:02.000,2.000
9,600,00:00:19.967,19.967,698,00:00:23.267,23.267,99,00:00:03.300,3.300
10,699,00:00:23.267,23.267,738,00:00:24.600,24.600,40,00:00:01.333,1.333
11,739,00:00:24.600,24.600,770,00:00:25.667,25.667,32,00:00:01.067,1.067
12,771,00:00:25.667,25.667,799,00:00:26.633,26.633,29,00:00:00.967,0.967
13,800,00:00:26.633,26.633,855,00:00:28.500,28.500,56,00:00:01.867,1.867
14,856,00:00:28.500,28.500,890,00:00:29.667,29.667,35,00:00:01.167,1.167
15,891,00:00:29.667,29.667,955,00:00:31.833,31.833,65,00:00:02.167,2.167
16,956,00:00:31.833,31.833,986,00:00:32.867,32.867,31,00:00:01.033,1.033
17,987,00:00:32.867,32.867,1017,00:00:33.900,33.900,31,00:00:01.033,1.033
18,1018,00:00:33.900,33.900,1062,00:00:35.400,35.400,45,00:00:01.500,1.500
19,1063,00:00:35.400,35.400,1148,00:00:38.267,38.267,86,00:00:02.867,2.867
20,1149,00:00:38.267,38.267,1328,00:00:44.267,44.267,180,00:00:06.000,6.000
21,1329,00:00:44.267,44.267,1514,00:00:50.467,50.467,186,00:00:06.200,6.200
22,1515,00:00:50.467,50.467,1692,00:00:56.400,56.400,178,00:00:05.933,5.933
23,1693,00:00:56.400,56.400,1939,00:01:04.633,64.633,247,00:00:08.233,8.233
24,1940,00:01:04.633,64.633,2043,00:01:08.100,68.100,104,00:00:03.467,3.467
25,2044,00:01:08.100,68.100,2183,00:01:12.767,72.767,140,00:00:04.667,4.667
26,2184,00:01:12.767,72.767,2385,00:01:19.500,79.500,202,00:00:06.733,6.733
27,2386,00:01:19.500,79.500,2662,00:01:28.733,88.733,277,00:00:09.233,9.233
28,2663,00:01:28.733,88.733,2782,00:01:32.733,92.733,120,00:00:04.000,4.000
29,2783,00:01:32.733,92.733,3310,00:01:50.333,110.333,528,00:00:17.600,17.600
30,3311,00:01:50.333,110.333,3891,00:02:09.700,129.700,581,00:00:19.367,19.367
31,3892,00:02:09.700,129.700,4167,00:02:18.900,138.900,276,00:00:09.200,9.200
32,4168,00:02:18.900,138.900,4227,00:02:20.900,140.900,60,00:00:02.000,2.000
33,4228,00:02:20.900,140.900,4259,00:02:21.967,141.967,32,00:00:01.067,1.067
34,4260,00:02:21.967,141.967,4288,00:02:22.933,142.933,29,00:00:00.967,0.967
35,4289,00:02:22.933,142.933,4312,00:02:23.733,143.733,24,00:00:00.800,0.800
36,4313,00:02:23.733,143.733,4511,00:02:30.367,150.367,199,00:00:06.633,6.633
37,4512,00:02:30.367,150.367,4599,00:02:33.300,153.300,88,00:00:02.933,2.933
38,4600,00:02:33.300,153.300,4638,00:02:34.600,154.600,39,00:00:01.300,1.300
39,4639,00:02:34.600,154.600,4742,00:02:38.067,158.067,104,00:00:03.467,3.467
40,4743,00:02:38.067,158.067,4827,00:02:40.900,160.900,85,00:00:02.833,2.833
41,4828,00:02:40.900,160.900,4957,00:02:45.233,165.233,130,00:00:04.333,4.333
42,4958,00:02:45.233,165.233,5087,00:02:49.567,169.567,130,00:00:04.333,4.333
43,5088,00:02:49.567,169.567,5177,00:02:52.567,172.567,90,00:00:03.000,3.000
44,5178,00:02:52.567,172.567,5351,00:02:58.367,178.367,174,00:00:05.800,5.800
45,5352,00:02:58.367,178.367,5621,00:03:07.367,187.367,270,00:00:09.000,9.000
46,5622,00:03:07.367,187.367,5855,00:03:15.167,195.167,234,00:00:07.800,7.800
47,5856,00:03:15.167,195.167,5947,00:03:18.233,198.233,92,00:00:03.067,3.067
48,5948,00:03:18.233,198.233,6226,00:03:27.533,207.533,279,00:00:09.300,9.300
49,6227,00:03:27.533,207.533,6753,00:03:45.100,225.100,527,00:00:17.567,17.567
50,6754,00:03:45.100,225.100,6926,00:03:50.867,230.867,173,00:00:05.767,5.767
51,6927,00:03:50.867,230.867,7002,00:03:53.400,233.400,76,00:00:02.533,2.533
52,7003,00:03:53.400,233.400,7020,00:03:54.000,234.000,18,00:00:00.600,0.600
53,7021,00:03:54.000,234.000,7279,00:04:02.633,242.633,259,00:00:08.633,8.633
54,7280,00:04:02.633,242.633,7506,00:04:10.200,250.200,227,00:00:07.567,7.567
55,7507,00:04:10.200,250.200,7574,00:04:12.467,252.467,68,00:00:02.267,2.267
56,7575,00:04:12.467,252.467,7592,00:04:13.067,253.067,18,00:00:00.600,0.600
57,7593,00:04:13.067,253.067,7621,00:04:14.033,254.033,29,00:00:00.967,0.967
58,7622,00:04:14.033,254.033,7645,00:04:14.833,254.833,24,00:00:00.800,0.800
59,7646,00:04:14.833,254.833,7682,00:04:16.067,256.067,37,00:00:01.233,1.233
60,7683,00:04:16.067,256.067,7890,00:04:23.000,263.000,208,00:00:06.933,6.933
61,7891,00:04:23.000,263.000,8029,00:04:27.633,267.633,139,00:00:04.633,4.633
62,8030,00:04:27.633,267.633,8189,00:04:32.967,272.967,160,00:00:05.333,5.333
63,8190,00:04:32.967,272.967,8417,00:04:40.567,280.567,228,00:00:07.600,7.600
64,8418,00:04:40.567,280.567,8943,00:04:58.100,298.100,526,00:00:17.533,17.533
65,8944,00:04:58.100,298.100,9092,00:05:03.067,303.067,149,00:00:04.967,4.967
66,9093,00:05:03.067,303.067,9219,00:05:07.300,307.300,127,00:00:04.233,4.233
67,9220,00:05:07.300,307.300,9455,00:05:15.167,315.167,236,00:00:07.867,7.867
68,9456,00:05:15.167,315.167,9605,00:05:20.167,320.167,150,00:00:05.000,5.000
69,9606,00:05:20.167,320.167,9708,00:05:23.600,323.600,103,00:00:03.433,3.433
70,9709,00:05:23.600,323.600,9744,00:05:24.800,324.800,36,00:00:01.200,1.200
71,9745,00:05:24.800,324.800,9956,00:05:31.867,331.867,212,00:00:07.067,7.067
72,9957,00:05:31.867,331.867,10099,00:05:36.633,336.633,143,00:00:04.767,4.767
73,10100,00:05:36.633,336.633,10611,00:05:53.700,353.700,512,00:00:17.067,17.067
74,10612,00:05:53.700,353.700,11028,00:06:07.600,367.600,417,00:00:13.900,13.900
75,11029,00:06:07.600,367.600,11154,00:06:11.800,371.800,126,00:00:04.200,4.200
76,11155,00:06:11.800,371.800,11280,00:06:16.000,376.000,126,00:00:04.200,4.200
77,11281,00:06:16.000,376.000,11399,00:06:19.967,379.967,119,00:00:03.967,3.967
78,11400,00:06:19.967,379.967,11865,00:06:35.500,395.500,466,00:00:15.533,15.533
79,11866,00:06:35.500,395.500,12014,00:06:40.467,400.467,149,00:00:04.967,4.967
80,12015,00:06:40.467,400.467,12032,00:06:41.067,401.067,18,00:00:00.600,0.600
81,12033,00:06:41.067,401.067,12145,00:06:44.833,404.833,113,00:00:03.767,3.767
82,12146,00:06:44.833,404.833,12273,00:06:49.100,409.100,128,00:00:04.267,4.267
83,12274,00:06:49.100,409.100,12700,00:07:03.333,423.333,427,00:00:14.233,14.233
84,12701,00:07:03.333,423.333,13081,00:07:16.033,436.033,381,00:00:12.700,12.700
85,13082,00:07:16.033,436.033,13321,00:07:24.033,444.033,240,00:00:08.000,8.000
86,13322,00:07:24.033,444.033,13537,00:07:31.233,451.233,216,00:00:07.200,7.200
87,13538,00:07:31.233,451.233,13598,00:07:33.267,453.267,61,00:00:02.033,2.033
88,13599,00:07:33.267,453.267,13692,00:07:36.400,456.400,94,00:00:03.133,3.133
89,13693,00:07:36.400,456.400,14061,00:07:48.700,468.700,369,00:00:12.300,12.300
90,14062,00:07:48.700,468.700,14630,00:08:07.667,487.667,569,00:00:18.967,18.967
91,14631,00:08:07.667,487.667,14764,00:08:12.133,492.133,134,00:00:04.467,4.467
92,14765,00:08:12.133,492.133,14911,00:08:17.033,497.033,147,00:00:04.900,4.900
93,14912,00:08:17.033,497.033,14991,00:08:19.700,499.700,80,00:00:02.667,2.667
94,14992,00:08:19.700,499.700,15176,00:08:25.867,505.867,185,00:00:06.167,6.167
95,15177,00:08:25.867,505.867,15305,00:08:30.167,510.167,129,00:00:04.300,4.300
96,15306,00:08:30.167,510.167,15431,00:08:34.367,514.367,126,00:00:04.200,4.200
97,15432,00:08:34.367,514.367,15682,00:08:42.733,522.733,251,00:00:08.367,8.367
98,15683,00:08:42.733,522.733,15758,00:08:45.267,525.267,76,00:00:02.533,2.533
99,15759,00:08:45.267,525.267,15852,00:08:48.400,528.400,94,00:00:03.133,3.133
100,15853,00:08:48.400,528.400,16160,00:08:58.667,538.667,308,00:00:10.267,10.267
101,16161,00:08:58.667,538.667,17335,00:09:37.833,577.833,1175,00:00:39.167,39.167
102,17336,00:09:37.833,577.833,17547,00:09:44.900,584.900,212,00:00:07.067,7.067
103,17548,00:09:44.900,584.900,17914,00:09:57.133,597.133,367,00:00:12.233,12.233
104,17915,00:09:57.133,597.133,18115,00:10:03.833,603.833,201,00:00:06.700,6.700
105,18116,00:10:03.833,603.833,18284,00:10:09.467,609.467,169,00:00:05.633,5.633
106,18285,00:10:09.467,609.467,18341,00:10:11.367,611.367,57,00:00:01.900,1.900
107,18342,00:10:11.367,611.367,18518,00:10:17.267,617.267,177,00:00:05.900,5.900
108,18519,00:10:17.267,617.267,18617,00:10:20.567,620.567,99,00:00:03.300,3.300
109,18618,00:10:20.567,620.567,18766,00:10:25.533,625.533,149,00:00:04.967,4.967
110,18767,00:10:25.533,625.533,18928,00:10:30.933,630.933,162,00:00:05.400,5.400
111,18929,00:10:30.933,630.933,19014,00:10:33.800,633.800,86,00:00:02.867,2.867
112,19015,00:10:33.800,633.800,19175,00:10:39.167,639.167,161,00:00:05.367,5.367
113,19176,00:10:39.167,639.167,19356,00:10:45.200,645.200,181,00:00:06.033,6.033
114,19357,00:10:45.200,645.200,19614,00:10:53.800,653.800,258,00:00:08.600,8.600
115,19615,00:10:53.800,653.800,19932,00:11:04.400,664.400,318,00:00:10.600,10.600
116,19933,00:11:04.400,664.400,20045,00:11:08.167,668.167,113,00:00:03.767,3.767
117,20046,00:11:08.167,668.167,20269,00:11:15.633,675.633,224,00:00:07.467,7.467
118,20270,00:11:15.633,675.633,20387,00:11:19.567,679.567,118,00:00:03.933,3.933
119,20388,00:11:19.567,679.567,20580,00:11:26.000,686.000,193,00:00:06.433,6.433
120,20581,00:11:26.000,686.000,20683,00:11:29.433,689.433,103,00:00:03.433,3.433
121,20684,00:11:29.433,689.433,20875,00:11:35.833,695.833,192,00:00:06.400,6.400
122,20876,00:11:35.833,695.833,20983,00:11:39.433,699.433,108,00:00:03.600,3.600
123,20984,00:11:39.433,699.433,21137,00:11:44.567,704.567,154,00:00:05.133,5.133
124,21138,00:11:44.567,704.567,21352,00:11:51.733,711.733,215,00:00:07.167,7.167
125,21353,00:11:51.733,711.733,21437,00:11:54.567,714.567,85,00:00:02.833,2.833
126,21438,00:11:54.567,714.567,21687,00:12:02.900,722.900,250,00:00:08.333,8.333
127,21688,00:12:02.900,722.900,21807,00:12:06.900,726.900,120,00:00:04.000,4.000
128,21808,00:12:06.900,726.900,21945,00:12:11.500,731.500,138,00:00:04.600,4.600
129,21946,00:12:11.500,731.500,22243,00:12:21.433,741.433,298,00:00:09.933,9.933
130,22244,00:12:21.433,741.433,22605,00:12:33.500,753.500,362,00:00:12.067,12.067
131,22606,00:12:33.500,753.500,22624,00:12:34.133,754.133,19,00:00:00.633,0.633
132,22625,00:12:34.133,754.133,22798,00:12:39.933,759.933,174,00:00:05.800,5.800
133,22799,00:12:39.933,759.933,22918,00:12:43.933,763.933,120,00:00:04.000,4.000
